model,hidden_layers,alpha,activation,learning_rate_init,accuracy,precision_macro,recall_macro,f1_macro,top_2_accuracy
mlp_layers_128_64_alpha_0_01_relu_lr_0_001,"(128, 64)",0.01,relu,0.001,0.6242774566473989,0.6831265140088669,0.621797484922485,0.621911412092155,0.7398843930635838
mlp_layers_64_alpha_0_0001_relu_lr_0_0005,"(64,)",0.0001,relu,0.0005,0.5953757225433526,0.6168515678145348,0.6122019762644763,0.6096526928059416,0.7398843930635838
mlp_layers_64_alpha_0_001_relu_lr_0_0005,"(64,)",0.001,relu,0.0005,0.5953757225433526,0.6168515678145348,0.6122019762644763,0.6096526928059416,0.7398843930635838
mlp_layers_64_alpha_0_01_relu_lr_0_0005,"(64,)",0.01,relu,0.0005,0.5953757225433526,0.6168515678145348,0.6122019762644763,0.6096526928059416,0.7398843930635838
mlp_layers_64_alpha_0_0001_tanh_lr_0_001,"(64,)",0.0001,tanh,0.001,0.6069364161849711,0.6054029782478059,0.6268090589965589,0.6040946153245041,0.7514450867052023
mlp_layers_64_alpha_0_001_tanh_lr_0_001,"(64,)",0.001,tanh,0.001,0.6069364161849711,0.6054029782478059,0.6268090589965589,0.6040946153245041,0.7514450867052023
mlp_layers_64_alpha_0_01_tanh_lr_0_001,"(64,)",0.01,tanh,0.001,0.6069364161849711,0.6054029782478059,0.6268090589965589,0.6040946153245041,0.7514450867052023
mlp_layers_64_32_16_alpha_0_0001_tanh_lr_0_001,"(64, 32, 16)",0.0001,tanh,0.001,0.5780346820809249,0.6267561134004243,0.592845615033115,0.5970867320474024,0.7398843930635838
mlp_layers_64_32_16_alpha_0_001_tanh_lr_0_001,"(64, 32, 16)",0.001,tanh,0.001,0.5780346820809249,0.6267561134004243,0.592845615033115,0.5970867320474024,0.7398843930635838
mlp_layers_64_32_16_alpha_0_01_tanh_lr_0_001,"(64, 32, 16)",0.01,tanh,0.001,0.5780346820809249,0.6267561134004243,0.592845615033115,0.5970867320474024,0.7398843930635838
mlp_layers_64_32_alpha_0_0001_tanh_lr_0_001,"(64, 32)",0.0001,tanh,0.001,0.5722543352601156,0.5934567203937067,0.588616718929219,0.5880942910036053,0.7572254335260116
mlp_layers_64_32_alpha_0_001_tanh_lr_0_001,"(64, 32)",0.001,tanh,0.001,0.5722543352601156,0.5934567203937067,0.588616718929219,0.5880942910036053,0.7572254335260116
mlp_layers_64_32_alpha_0_01_tanh_lr_0_001,"(64, 32)",0.01,tanh,0.001,0.5722543352601156,0.5934567203937067,0.588616718929219,0.5880942910036053,0.7572254335260116
mlp_layers_64_32_16_alpha_0_0001_relu_lr_0_001,"(64, 32, 16)",0.0001,relu,0.001,0.5606936416184971,0.6203169820970349,0.5553780131905132,0.5667542246726693,0.6936416184971098
mlp_layers_64_32_16_alpha_0_001_relu_lr_0_001,"(64, 32, 16)",0.001,relu,0.001,0.5606936416184971,0.6203169820970349,0.5553780131905132,0.5667542246726693,0.6878612716763006
mlp_layers_64_32_16_alpha_0_01_relu_lr_0_001,"(64, 32, 16)",0.01,relu,0.001,0.5606936416184971,0.6144885363492343,0.5553780131905132,0.5644039524403645,0.6878612716763006
mlp_layers_64_alpha_0_0001_tanh_lr_0_0005,"(64,)",0.0001,tanh,0.0005,0.5491329479768786,0.5358415159542078,0.5725866263366263,0.5468626333104981,0.6936416184971098
mlp_layers_64_alpha_0_001_tanh_lr_0_0005,"(64,)",0.001,tanh,0.0005,0.5491329479768786,0.5358415159542078,0.5725866263366263,0.5468626333104981,0.6936416184971098
mlp_layers_64_alpha_0_01_tanh_lr_0_0005,"(64,)",0.01,tanh,0.0005,0.5491329479768786,0.5358415159542078,0.5725866263366263,0.5468626333104981,0.6936416184971098
mlp_layers_64_32_16_alpha_0_0001_tanh_lr_0_0005,"(64, 32, 16)",0.0001,tanh,0.0005,0.5202312138728323,0.5678188452787996,0.5421881475006475,0.5351349030377854,0.7341040462427746
mlp_layers_64_32_16_alpha_0_001_tanh_lr_0_0005,"(64, 32, 16)",0.001,tanh,0.0005,0.5202312138728323,0.5678188452787996,0.5421881475006475,0.5351349030377854,0.7341040462427746
mlp_layers_64_32_16_alpha_0_01_tanh_lr_0_0005,"(64, 32, 16)",0.01,tanh,0.0005,0.5202312138728323,0.5678188452787996,0.5421881475006475,0.5351349030377854,0.7341040462427746
